tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8017256689735588,24051.770069206763,5.7266388805916275,15.0,2.4975044621426754,0,0,9.54292535543549
1,0.8034512631351987,24103.53789405596,5.72861804796414,15.0,2.5033255962457006,0,0,9.54292535543549
2,0.8051763870661903,24155.29161198571,5.731727476911351,15.0,2.512471059705196,0,0,9.54292535543549
3,0.8069006454871444,24207.01936461433,5.735966246042355,15.0,2.5249381425229607,0,0,9.54292535543549
4,0.8086236433751403,24258.709301254206,5.741333099318379,15.0,2.540723150433294,0,0,9.54292535543549
5,0.8103449860807805,24310.349582423416,5.747826446424971,15.0,2.559821405997685,0,0,9.54292535543549
6,0.8120642794451345,24361.928383354036,5.755444363243247,15.0,2.5822272499908374,0,0,9.54292535543549
7,0.8137811299165352,24413.433897496056,5.764184592420041,15.0,2.607934043077617,0,0,9.54292535543549
8,0.8154951446671974,24464.85434001592,5.774044544036823,15.0,2.6369341677804314,0,0,9.54292535543549
9,0.8172059317096214,24516.177951288642,5.785021296377132,15.0,2.6692190307364614,0,0,9.54292535543549
10,0.8189131000127472,24567.393000382417,5.797111596792352,15.0,2.7047790652440464,0,0,9.54292535543549
11,0.8206162596178249,24618.48778853475,5.8103118626655395,15.0,2.743603734097513,0,0,9.54292535543549
12,0.8223150217539689,24669.450652619067,5.824618182473032,15.0,2.7856815327095776,0,0,9.54292535543549
13,0.824008998953358,24720.26996860074,5.840026316943514,15.0,2.830999992520395,0,0,9.54292535543549
14,0.8256978051660514,24770.934154981544,5.856531700314209,15.0,2.879545684692272,0,0,9.54292535543549
15,0.8273810558743832,24821.431676231496,5.874129441683804,15.0,2.931304224088917,0,0,9.54292535543549
16,0.8290583682069033,24871.751046207097,5.892814326461747,15.0,2.986260273538065,0,0,9.54292535543549
17,0.8307293610518305,24921.880831554914,5.912580817913423,15.0,3.044397548376217,0,0,9.54292535543549
18,0.8323936551699841,24971.80965509952,5.933423058800817,15.0,3.1056988212741308,0,0,9.54292535543549
19,0.8340508733071608,25021.526199214823,5.9553348731181455,15.0,3.1701459273416597,0,0,9.54292535543549
20,0.8357006403059232,25071.019209177695,5.978309767921927,15.0,3.237719769510392,0,0,9.54292535543549
21,0.8373425832167669,25120.277496503008,6.002340935254995,15.0,3.3084003241925286,0,0,9.54292535543549
22,0.8389763314086339,25169.289942259016,6.02742125416383,15.0,3.3821666472143095,0,0,9.54292535543549
23,0.8406015166787378,25218.045500362135,6.053543292808667,15.0,3.4589968800222146,0,0,9.54292535543549
24,0.8422177733616713,25266.53320085014,6.0806993106656915,15.0,3.538868256160127,0,0,9.54292535543549
25,0.8438247384377595,25314.742153132785,6.108881260820741,15.0,3.6217571080155366,0,0,9.54292535543549
26,0.8454220516406318,25362.661549218952,6.1380807923537635,15.0,3.7076388738327464,0,0,9.54292535543549
27,0.8470093555639755,25410.280666919265,6.168289252813393,15.0,3.7964881049910675,0,0,9.54292535543549
28,0.8485862957674436,25457.58887302331,6.1994976907808415,15.0,3.8882784735457854,0,0,9.54292535543549
29,0.8501525208816831,25504.575626450493,6.231696858522405,15.0,3.982982780029695,0,0,9.54292535543549
30,0.851707682712453,25551.23048137359,6.264877214729768,15.0,4.0805729615129,0,0,9.54292535543549
31,0.853251436343802,25597.54309031406,6.299028927347295,15.0,4.1810200999184595,0,0,9.54292535543549
32,0.8547834402402744,25643.503207208232,6.334141876485482,15.0,4.284294430591435,0,0,9.54292535543549
33,0.8563033563481146,25689.10069044344,6.370205657419703,15.0,4.39036535111881,0,0,9.54292535543549
34,0.8578108501954398,25734.325505863195,6.407209583673344,15.0,4.499201430397631,0,0,9.54292535543549
35,0.859305590991351,25779.16772974053,6.445142690184447,15.0,4.610770417948729,0,0,9.54292535543549
36,0.8607872517239533,25823.6175517186,6.483993736554891,15.0,4.725039253473245,0,0,9.54292535543549
37,0.8622555092572572,25867.66527771772,6.523751210381159,15.0,4.841974076649085,0,0,9.54292535543549
38,0.8637100444269303,25911.30133280791,6.564403330665722,15.0,4.961540237164482,0,0,9.54292535543549
39,0.8651505421348727,25954.516264046182,6.605938051307994,15.0,5.083702304985626,0,0,9.54292535543549
40,0.8665766914425874,25997.30074327762,6.648343064673856,15.0,5.208424080855347,0,0,9.54292535543549
41,0.8679881856633178,26039.645569899534,6.691605805242674,15.0,5.335668607019743,0,0,9.54292535543549
42,0.8693847224529263,26081.541673587788,6.735713453330729,15.0,5.465398178179544,0,0,9.54292535543549
43,0.8707660038994844,26122.980116984534,6.780652938889972,15.0,5.597574352663026,0,0,9.54292535543549
44,0.8721317366115517,26163.95209834655,6.82641094538096,15.0,5.7321579638170945,0,0,9.54292535543549
45,0.8734816318051128,26204.448954153384,6.872973913718829,15.0,5.8691091316132065,0,0,9.54292535543549
46,0.8748154053891509,26244.462161674528,6.92032804629115,15.0,6.008387274464704,0,0,9.54292535543549
47,0.8761327780498303,26283.983341494906,6.968459311046455,15.0,6.149951121251985,0,0,9.54292535543549
48,0.8774334753332625,26323.004259997877,7.017353445652242,15.0,6.293758723552052,0,0,9.54292535543549
49,0.8787172277268338,26361.516831805013,7.066995961721204,15.0,6.43976746806872,0,0,9.54292535543549
50,0.8799837707390662,26399.513122171986,7.117372149104455,15.0,6.58793408925986,0,0,9.54292535543549
51,0.8812328449779935,26436.985349339804,7.168467080250467,15.0,6.738214682157919,0,0,9.54292535543549
52,0.8824641962280236,26473.92588684071,7.220265614628424,15.0,6.8905647153799,0,0,9.54292535543549
53,0.8836775755252689,26510.327265758067,7.272752403214684,15.0,7.044939044322971,0,0,9.54292535543549
54,0.8848727392313189,26546.18217693957,7.325911893041032,15.0,7.201291924541804,0,0,9.54292535543549
55,0.8860494491054361,26581.483473163084,7.379728331803358,15.0,7.3595770253036115,0,0,9.54292535543549
56,0.8872074723751517,26616.22417125455,7.434185772529401,15.0,7.51974744331697,0,0,9.54292535543549
57,0.8883465818052408,26650.397454157224,7.489268078304185,15.0,7.681755716630259,0,0,9.54292535543549
58,0.8894665557650576,26683.99667295173,7.54495892705174,15.0,7.845553838695672,0,0,9.54292535543549
59,0.8905671782942094,26717.01534882628,7.601241816371669,15.0,8.011093272594588,0,0,9.54292535543549
60,0.8916482391665493,26749.44717499648,7.658100068429188,15.0,8.178324965420106,0,0,9.54292535543549
61,0.8927095339524722,26781.286018574167,7.715516834897107,15.0,8.34719936281249,0,0,9.54292535543549
62,0.8937508640794907,26812.52592238472,7.7734751019483666,15.0,8.517666423643185,0,0,9.54292535543549
63,0.8947720368910766,26843.1611067323,7.8319576952976,15.0,8.689675634843084,0,0,9.54292535543549
64,0.8957728657037495,26873.185971112485,7.890947285290238,15.0,8.863176026370645,0,0,9.54292535543549
65,0.8967531698623947,26902.595095871842,7.9504263920376665,15.0,9.038116186315419,0,0,9.54292535543549
66,0.8977127747937959,26931.383243813874,8.010377390596894,15.0,9.21444427613249,0,0,9.54292535543549
67,0.8986515120583638,26959.545361750916,8.070782516193194,15.0,9.392108046003374,0,0,9.54292535543549
68,0.89956921940005,26987.0765820015,8.131623869484208,15.0,9.571054850318763,0,0,9.54292535543549
69,0.9004657407944257,27013.97222383277,8.19288342186389,15.0,9.75123166327855,0,0,9.54292535543549
70,0.9013409264949154,27040.227794847462,8.254543020804782,15.0,9.93258509460452,0,0,9.54292535543549
71,0.9021946330771703,27065.838992315108,8.316584395236992,15.0,10.115061405361041,0,0,9.54292535543549
72,0.9030267234815679,27090.801704447036,8.378989160962313,15.0,10.298606523879078,0,0,9.54292535543549
73,0.9038370670538256,27115.11201161477,8.441738826101858,15.0,10.483166061778785,0,0,9.54292535543549
74,0.9046255395837168,27138.766187511505,8.504814796575594,15.0,10.66868533008596,0,0,9.54292535543549
75,0.9053920233418765,27161.760700256295,8.568198381612184,15.0,10.855109355437571,0,0,9.54292535543549
76,0.9061364071146872,27184.092213440617,8.631870799287448,15.0,11.042382896371548,0,0,9.54292535543549
77,0.9068585862372345,27205.757587117034,8.695813182089866,15.0,11.230450459696014,0,0,9.54292535543549
78,0.9075584626243205,27226.753878729614,8.760006582511426,15.0,11.41925631693313,0,0,9.54292535543549
79,0.9082359447995295,27247.078343985886,8.824431978662172,15.0,11.60874452083263,0,0,9.54292535543549
80,0.908890947922334,27266.728437670023,8.889070279906814,15.0,11.798858921950208,0,0,9.54292535543549
81,0.9095233938132351,27285.701814397053,8.953902332521682,15.0,11.98954318528581,0,0,9.54292535543549
82,0.9101332109769281,27303.996329307844,9.0189089253704,15.0,12.180740806976903,0,0,9.54292535543549
83,0.9107203346234889,27321.610038704668,9.084070795596546,15.0,12.3723951310418,0,0,9.54292535543549
84,0.9112847066875722,27338.541200627165,9.149368634331664,15.0,12.564449366168043,0,0,9.54292535543549
85,0.9118262758456174,27354.788275368523,9.214783092416894,15.0,12.75684660254089,0,0,9.54292535543549
86,0.9123449975310574,27370.34992593172,9.280294786136547,15.0,12.949529828706932,0,0,9.54292535543549
87,0.912840833947524,27385.22501842572,9.345884302961917,15.0,13.142441948467814,0,0,9.54292535543549
88,0.9133137540800484,27399.412622401454,9.411532207303628,15.0,13.335525797799065,0,0,9.54292535543549
89,0.9137637337042513,27412.91201112754,9.477219046270827,15.0,13.528724161789038,0,0,9.54292535543549
90,0.9141907553935209,27425.722661805627,9.54292535543549,15.0,13.721979791592918,0,0,9.54292535543549
91,0.914594808524177,27437.844255725307,9.608631664600152,15.0,13.915235421396801,0,0,9.54292535543549
92,0.9149758892786191,27449.276678358572,9.674318503567351,15.0,14.108433785386772,0,0,9.54292535543549
93,0.9153340006464575,27460.020019393727,9.739966407909062,15.0,14.301517634718024,0,0,9.54292535543549
94,0.9156691524236279,27470.074572708836,9.80555592473443,15.0,14.494429754478908,0,0,9.54292535543549
95,0.9159813612094874,27479.440836284622,9.871067618454083,15.0,14.68711298064495,0,0,9.54292535543549
96,0.9162706504018974,27488.11951205692,9.936482076539315,15.0,14.879510217017797,0,0,9.54292535543549
97,0.916537050190289,27496.111505708668,10.001779915274433,15.0,15.071564452144038,0,0,9.54292535543549
98,0.9167805975467176,27503.41792640153,10.066941785500578,15.0,15.263218776208937,0,0,9.54292535543549
99,0.917001336214908,27510.04008644724,10.131948378349296,15.0,15.45441639790003,0,0,9.54292535543549
100,0.9171993166972907,27515.979500918722,10.196780430964164,15.0,15.64510066123563,0,0,9.54292535543549
101,0.9173745962400388,27521.237887201165,10.261418732208808,15.0,15.835215062353209,0,0,9.54292535543549
102,0.9175272388161029,27525.817164483087,10.325844128359554,15.0,16.02470326625271,0,0,9.54292535543549
103,0.9176573151062559,27529.719453187678,10.390037528781114,15.0,16.213509123489825,0,0,9.54292535543549
104,0.917764902478148,27532.94707434444,10.45397991158353,15.0,16.40157668681429,0,0,9.54292535543549
105,0.9178500849633814,27535.50254890144,10.517652329258794,15.0,16.588850227748267,0,0,9.54292535543549
106,0.9179129532326095,27537.388596978282,10.581035914295384,15.0,16.77527425309988,0,0,9.54292535543549
107,0.9179536045686694,27538.60813706008,10.64411188476912,15.0,16.960793521407055,0,0,9.54292535543549
108,0.9179721428377555,27539.164285132665,10.706861549908668,15.0,17.145353059306764,0,0,9.54292535543549
109,0.9179686784586408,27539.060353759225,10.769266315633988,15.0,17.3288981778248,0,0,9.54292535543549
110,0.917943328369958,27538.299851098738,10.831307690066197,15.0,17.51137448858132,0,0,9.54292535543549
111,0.9178962159955475,27536.886479866425,10.892967289007089,15.0,17.692727919907288,0,0,9.54292535543549
112,0.9178274712078853,27534.82413623656,10.95422684138677,15.0,17.872904732867077,0,0,9.54292535543549
113,0.9177372302895977,27532.11690868793,11.015068194677784,15.0,18.051851537182465,0,0,9.54292535543549
114,0.9176256358930787,27528.76907679236,11.075473320274085,15.0,18.22951530705335,0,0,9.54292535543549
115,0.9174928369982185,27524.785109946555,11.135424318833312,15.0,18.405843396870424,0,0,9.54292535543549
116,0.9173389888682583,27520.169666047746,11.19490342558074,15.0,18.58078355681519,0,0,9.54292535543549
117,0.9171642530037815,27514.927590113442,11.253893015573379,15.0,18.754283948342756,0,0,9.54292535543549
118,0.9169687970948579,27509.063912845737,11.312375608922613,15.0,18.926293159542652,0,0,9.54292535543549
119,0.9167527949713543,27502.58384914063,11.370333875973873,15.0,19.09676022037335,0,0,9.54292535543549
120,0.9165164265514236,27495.49279654271,11.427750642441792,15.0,19.265634617765734,0,0,9.54292535543549
121,0.9162598777881924,27487.796333645772,11.484608894499308,15.0,19.43286631059125,0,0,9.54292535543549
122,0.9159833406146581,27479.500218439745,11.54089178381924,15.0,19.59840574449017,0,0,9.54292535543549
123,0.9156870128868159,27470.610386604476,11.596582632566793,15.0,19.76220386655558,0,0,9.54292535543549
124,0.9153710983250289,27461.132949750867,11.651664938341579,15.0,19.924212139868867,0,0,9.54292535543549
125,0.9150358064536622,27451.074193609868,11.70612237906762,15.0,20.08438255788223,0,0,9.54292535543549
126,0.9146813525389959,27440.440576169876,11.759938817829948,15.0,20.242667658644038,0,0,9.54292535543549
127,0.9143079575254367,27429.2387257631,11.813098307656297,15.0,20.39902053886287,0,0,9.54292535543549
128,0.9139158479700482,27417.475439101447,11.865585096242555,15.0,20.55339486780594,0,0,9.54292535543549
129,0.9135052559754161,27405.157679262484,11.917383630620511,15.0,20.70574490102792,0,0,9.54292535543549
130,0.9130764191208722,27392.292573626168,11.968478561766524,15.0,20.85602549392598,0,0,9.54292535543549
