tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8016534543795054,24049.603631385162,6.393085785695657,15.0,3.997495378637633,0,0,10.653498800239767
1,0.8033067097311573,24099.201291934718,6.395295281887151,15.0,4.006812661961047,0,0,10.653498800239767
2,0.8049592996990738,24148.778990972212,6.398766575680691,15.0,4.02145085319113,0,0,10.653498800239767
3,0.8066107581245407,24198.322743736222,6.403498638457009,15.0,4.0414056147159005,0,0,10.653498800239767
4,0.8082606191841445,24247.818575524336,6.40949006800378,15.0,4.066671033508859,0,0,10.653498800239767
5,0.8099084175278052,24297.252525834156,6.416739088931123,15.0,4.097239622881146,0,0,10.653498800239767
6,0.8115536884166704,24346.610652500112,6.42524355319769,15.0,4.133102324700008,0,0,10.653498800239767
7,0.8131959678608269,24395.879035824808,6.435000940747177,15.0,4.174248512072916,0,0,10.653498800239767
8,0.8148347927567913,24445.04378270374,6.446008360255071,15.0,4.220665992496539,0,0,10.653498800239767
9,0.8164697010247373,24494.091030742118,6.458262549985416,15.0,4.27234101146966,0,0,10.653498800239767
10,0.81810023174542,24543.0069523626,6.471759878757322,15.0,4.329258256568918,0,0,10.653498800239767
11,0.8197259252967563,24591.77775890269,6.486496347020982,15.0,4.391400861986215,0,0,10.653498800239767
12,0.8213463234900207,24640.38970470062,6.50246758804281,15.0,4.45875041352642,0,0,10.653498800239767
13,0.8229609697056165,24688.829091168496,6.519668869199401,15.0,4.531286954063889,0,0,10.653498800239767
14,0.8245694090283823,24737.082270851468,6.538095093379918,15.0,4.608988989456192,0,0,10.653498800239767
15,0.8261711883823928,24785.135651471785,6.557740800496461,15.0,4.691833494913295,0,0,10.653498800239767
16,0.8277658566652154,24832.975699956463,6.578600169102027,15.0,4.779795921820304,0,0,10.653498800239767
17,0.8293529648815814,24880.588946447442,6.600667018115516,15.0,4.872850205011738,0,0,10.653498800239767
18,0.8309320662764326,24927.961988292976,6.623934808653318,15.0,4.9709687704952135,0,0,10.653498800239767
19,0.832502716467305,24975.08149401915,6.648396645966943,15.0,5.074122543622205,0,0,10.653498800239767
