tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8017345586474972,24052.036759424915,5.830815850368333,15.0,2.1266372742147643,0,0,9.716526846129078
1,0.8034690700965958,24104.072102897877,5.832831022047011,15.0,2.13159399839658,0,0,9.716526846129078
2,0.8052031546980777,24156.09464094233,5.8359970166153845,15.0,2.139381405297245,0,0,9.716526846129078
3,0.8069364329292085,24208.092987876254,5.840312895920936,15.0,2.149997187340027,0,0,9.716526846129078
4,0.8086685255061989,24260.055765185967,5.845777381075482,15.0,2.1634381988395974,0,0,9.716526846129078
5,0.8103990534965945,24311.971604897833,5.852388852834139,15.0,2.179700456934172,0,0,9.716526846129078
6,0.8121276384315614,24363.829152946844,5.860145352075139,15.0,2.198779142765707,0,0,9.716526846129078
7,0.8138539024180357,24415.61707254107,5.869044580380354,15.0,2.2206686029078404,0,0,9.716526846129078
8,0.8155774682506999,24467.324047520997,5.879083900716379,15.0,2.2453623510411154,0,0,9.716526846129078
9,0.817297959523758,24518.93878571274,5.890260338215933,15.0,2.272853069875029,0,0,9.716526846129078
10,0.8190150007424725,24570.450022274174,5.902570581059374,15.0,2.30313261331629,0,0,9.716526846129078
11,0.820728217434431,24621.84652303293,5.916010981456074,15.0,2.336192008882692,0,0,9.716526846129078
12,0.8224372362605116,24673.117087815346,5.930577556725326,15.0,2.372021460361849,0,0,9.716526846129078
13,0.8241416851255098,24724.250553765294,5.946265990476506,15.0,2.4106103507140224,0,0,9.716526846129078
14,0.8258411932883999,24775.235798651996,5.96307163388811,15.0,2.451947245218186,0,0,9.716526846129078
15,0.8275353914721926,24826.061744165778,5.980989507085297,15.0,2.496019894860375,0,0,9.716526846129078
16,0.82922391197336,24876.7173592008,6.000014300615543,15.0,2.5428152399633346,0,0,9.716526846129078
17,0.8309063887707943,24927.191663123827,6.020140377021935,15.0,2.592319414056385,0,0,9.716526846129078
18,0.8325824576342671,24977.473729028014,6.0413617725136755,15.0,2.644517747984354,0,0,9.716526846129078
19,0.8342517562323596,25027.552686970786,6.063672198733288,15.0,2.6993947742543676,0,0,9.716526846129078
20,0.8359139242398284,25077.41772719485,6.087065044619983,15.0,2.756934231619198,0,0,9.716526846129078
21,0.8375686034443782,25127.058103331347,6.111533378368668,15.0,2.817119069895823,0,0,9.716526846129078
22,0.8392154378528076,25176.46313558423,6.137069949483978,15.0,2.8799314550177693,0,0,9.716526846129078
23,0.8408540737964976,25225.622213894927,6.1636671909287735,15.0,2.9453527743197228,0,0,9.716526846129078
24,0.8424841600362112,25274.524801086336,6.191317221366394,15.0,3.0133636420528624,0,0,9.716526846129078
25,0.8441053478661732,25323.160435985195,6.22001184749609,15.0,3.0839439051292894,0,0,9.716526846129078
26,0.8457172912173991,25371.518736521975,6.249742566480851,15.0,3.157072649093803,0,0,9.716526846129078
27,0.8473196467602435,25419.589402807305,6.280500568467006,15.0,3.2327282043213215,0,0,9.716526846129078
28,0.8489120740061348,25467.362220184044,6.312276739194754,15.0,3.310888152438052,0,0,9.716526846129078
29,0.8504942354084706,25514.827062254117,6.345061662698919,15.0,3.391529332964533,0,0,9.716526846129078
30,0.8520657964626392,25561.973893879178,6.378845624099114,15.0,3.474627850178598,0,0,9.716526846129078
31,0.8536264258051413,25608.792774154237,6.413618612478456,15.0,3.560159080196184,0,0,9.716526846129078
32,0.855175795311779,25655.27385935337,6.449370323850024,15.0,3.6480976782679204,0,0,9.716526846129078
33,0.8567135801948871,25701.407405846614,6.486090164210159,15.0,3.7384175862893296,0,0,9.716526846129078
34,0.8582394590995748,25747.183772987242,6.523767252677681,15.0,3.8310920405224014,0,0,9.716526846129078
35,0.8597531141989488,25792.593425968465,6.562390424718136,15.0,3.9260935795262646,0,0,9.716526846129078
36,0.8612542312882939,25837.626938648817,6.601948235452095,15.0,4.023394052294617,0,0,9.716526846129078
37,0.8627424998781773,25882.27499634532,6.642428963046509,15.0,4.122964626597458,0,0,9.716526846129078
38,0.8642176132864543,25926.52839859363,6.683820612188146,15.0,4.224775797524712,0,0,9.716526846129078
39,0.8656792687291442,25970.378061874326,6.726110917638062,15.0,4.328797396229169,0,0,9.716526846129078
40,0.8671271674101519,26013.81502230456,6.76928734786605,15.0,4.434998598866162,0,0,9.716526846129078
41,0.8685610146098082,26056.830438294244,6.813337108764013,15.0,4.543347935727343,0,0,9.716526846129078
42,0.8699805197722003,26099.415593166006,6.858247147437122,15.0,4.653813300565828,0,0,9.716526846129078
43,0.8713853965912708,26141.561897738124,6.9040041560716805,15.0,4.766361960109975,0,0,9.716526846129078
44,0.8727753630956566,26183.260892869697,6.950594575878515,15.0,4.880960563762967,0,0,9.716526846129078
45,0.8741501417322421,26224.504251967264,6.998004601110733,15.0,4.997575153485295,0,0,9.716526846129078
46,0.8755094594484051,26265.283783452152,7.046220183154665,15.0,5.116171173857284,0,0,9.716526846129078
47,0.8768530477729273,26305.59143318782,7.095227034692773,15.0,5.236713482318576,0,0,9.716526846129078
48,0.8781806428955492,26345.419286866476,7.145010633937293,15.0,5.359166359581666,0,0,9.716526846129078
