tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8017795953293916,24053.387859881746,4.40189942281396,15.0,2.2044532449372367,0,0,7.335366956071862
1,0.8035591538761118,24106.774616283354,4.403420750751058,15.0,2.209591341047632,0,0,7.335366956071862
2,0.8053383019391486,24160.14905817446,4.405810877625375,15.0,2.2176636976361133,0,0,7.335366956071862
3,0.8071166659391253,24213.49997817376,4.409069095190732,15.0,2.2286679226892065,0,0,7.335366956071862
4,0.8088938725290001,24266.816175870004,4.4131944379669505,15.0,2.242600755417538,0,0,7.335366956071862
5,0.8106695487046963,24320.08646114089,4.418185683525931,15.0,2.2594580672220754,0,0,7.335366956071862
6,0.8124433219156324,24373.29965746897,4.424041352853896,15.0,2.279234862917521,0,0,7.335366956071862
7,0.8142148201751161,24426.444605253484,4.430759710789646,15.0,2.3019252822124936,0,0,7.335366956071862
8,0.8159836721705728,24479.510165117183,4.438338766538731,15.0,2.327522601446053,0,0,7.335366956071862
9,0.8177495073735724,24532.485221207175,4.446776274263366,15.0,2.356019235580077,0,0,7.335366956071862
10,0.8195119561496264,24585.35868448879,4.45606973374791,15.0,2.3874067404468646,0,0,7.335366956071862
11,0.8212706498677165,24638.119496031493,4.4662163911397545,15.0,2.421675815251324,0,0,7.335366956071862
12,0.82302522100953,24690.7566302859,4.477213239765329,15.0,2.458816305327006,0,0,7.335366956071862
13,0.8247753032783625,24743.259098350874,4.489057021021053,15.0,2.4988172051451416,0,0,7.335366956071862
14,0.8265205317076589,24795.615951229767,4.501744225338934,15.0,2.541666661575824,0,0,7.335366956071862
15,0.8282605427691622,24847.816283074866,4.515271093226516,15.0,2.5873519774003473,0,0,7.335366956071862
16,0.8299949744806338,24899.849234419013,4.529633616380913,15.0,2.635859615073663,0,0,7.335366956071862
17,0.8317234665131168,24951.703995393505,4.544827538876547,15.0,2.687175200735848,0,0,7.335366956071862
18,0.8334456602977097,25003.369808931293,4.5608483584262665,15.0,2.7412835284713886,0,0,7.335366956071862
19,0.8351611991318174,25054.835973954523,4.5776913277154865,15.0,2.7981685648150236,0,0,7.335366956071862
20,0.8368697282848505,25106.091848545515,4.595351455808901,15.0,2.8578134535028052,0,0,7.335366956071862
21,0.8385708951033393,25157.126853100177,4.613823509629421,15.0,2.9202005204669725,0,0,7.335366956071862
22,0.8402643491154327,25207.93047346298,4.6331020155088405,15.0,2.985311279073162,0,0,7.335366956071862
23,0.8419497421347507,25258.49226404252,4.653181260809804,15.0,3.0531264355983936,0,0,7.335366956071862
24,0.8436267283635593,25308.80185090678,4.6740552956185795,15.0,3.1236258949482143,0,0,7.335366956071862
25,0.8452949644952382,25358.848934857146,4.69571793450816,15.0,3.196788766611321,0,0,7.335366956071862
26,0.8469541098160093,25408.62329448028,4.718162758371118,15.0,3.272593370849851,0,0,7.335366956071862
27,0.8486038263058984,25458.11478917695,4.7413831163217495,15.0,3.3510172451235736,0,0,7.335366956071862
28,0.850243778738897,25507.31336216691,4.765372127666856,15.0,3.4320371507460177,0,0,7.335366956071862
29,0.8518736347822978,25556.209043468934,4.790122683944648,15.0,3.5156290797705902,0,0,7.335366956071862
30,0.8534930650951713,25604.79195285514,4.815627451031143,15.0,3.6017682621046623,0,0,7.335366956071862
31,0.855101743425957,25653.05230277871,4.841878871313413,15.0,3.6904291728494716,0,0,7.335366956071862
32,0.8566993467091388,25700.980401274166,4.868869165929076,15.0,3.7815855398637055,0,0,7.335366956071862
33,0.8582855551609764,25748.56665482929,4.896590337071342,15.0,3.8752103515485037,0,0,7.335366956071862
34,0.8598600523742634,25795.801571227905,4.925034170358929,15.0,3.971275864851573,0,0,7.335366956071862
35,0.8614225254120872,25842.675762362614,4.954192237270163,15.0,4.069753613488056,0,0,7.335366956071862
36,0.8629726649005565,25889.179947016695,4.984055897640538,15.0,4.170614416375714,0,0,7.335366956071862
37,0.8645101651204781,25935.30495361434,5.014616302222974,15.0,4.273828386281893,0,0,7.335366956071862
38,0.8660347240979458,25981.041722938375,5.045864395310048,15.0,4.379364938679771,0,0,7.335366956071862
39,0.8675460436938237,26026.38131081471,5.077790917417386,15.0,4.487192800811205,0,0,7.335366956071862
40,0.8690438296920899,26071.314890762696,5.11038640802746,15.0,4.597280020953531,0,0,7.335366956071862
41,0.8705277918870197,26115.83375661059,5.143641208392933,15.0,4.709593977887547,0,0,7.335366956071862
42,0.8719976441691797,26159.92932507539,5.177545464398758,15.0,4.824101390563874,0,0,7.335366956071862
43,0.8734531046102081,26203.59313830624,5.212089129482168,15.0,4.940768327964868,0,0,7.335366956071862
44,0.8748938955463562,26246.816866390687,5.247261967609685,15.0,5.059560219159097,0,0,7.335366956071862
45,0.8763197436607665,26289.592309822994,5.283053556310279,15.0,5.18044186354546,0,0,7.335366956071862
46,0.8777303800644615,26331.911401933845,5.319453289763775,15.0,5.30337744128389,0,0,7.335366956071862
47,0.8791255403760223,26373.76621128067,5.356450381943576,15.0,5.42833052390953,0,0,7.335366956071862
48,0.8805049647999301,26415.148943997905,5.3940338698128105,15.0,5.555264085127295,0,0,7.335366956071862
49,0.8818683982035491,26456.051946106472,5.4321926165729035,15.0,5.684140511783539,0,0,7.335366956071862
50,0.8832155901927278,26496.467705781834,5.470915314963654,15.0,5.81492161501167,0,0,7.335366956071862
51,0.8845462951859966,26536.3888555799,5.510190490613828,15.0,5.947568641548311,0,0,7.335366956071862
52,0.8858602724873385,26575.808174620153,5.550006505441252,15.0,6.082042285216742,0,0,7.335366956071862
53,0.8871572863575125,26614.718590725373,5.590351561101431,15.0,6.2183026985741625,0,0,7.335366956071862
54,0.8884371060839085,26653.113182517252,5.631213702483658,15.0,6.356309504719359,0,0,7.335366956071862
55,0.8896995060489121,26690.985181467364,5.672580821253561,15.0,6.496021809257238,0,0,7.335366956071862
56,0.8909442657967607,26728.32797390282,5.714440659441076,15.0,6.637398212416725,0,0,7.335366956071862
57,0.8921711700988677,26765.135102966033,5.756780813072735,15.0,6.780396821318411,0,0,7.335366956071862
58,0.8933800090176017,26801.40027052805,5.799588735847246,15.0,6.924975262388318,0,0,7.335366956071862
