scenario,n_runs,mean_time_to_critical_ticks,median_time_to_critical_ticks,std_time_to_critical_ticks,mean_time_to_critical_years,median_time_to_critical_years,frac_reaching_critical,mean_final_basin_frac,mean_farm_yield_loss,mean_community_complaints,mean_dc_capacity_final
A_unregulated,50,2217.2,2144.5,307.84683443132525,6.074520547945205,5.875342465753425,1.0,0.049761445486084924,0.966875,193.22,41.647224783693325
B_reactive,50,2217.2,2144.5,307.84683443132525,6.074520547945205,5.875342465753425,1.0,0.049761445486084924,0.966875,193.22,41.647224783693325
C_proactive,50,3650.0,3650.0,0.0,10.0,10.0,0.0,0.9319949664715041,0.0,0.0,21.927224783693326
D_staggered,50,3328.98,3271.5,261.8958735288293,9.120493150684931,8.963013698630137,0.84,0.11939589888190344,0.7846875,160.26,39.44722478369333
