tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8017424478125306,24052.27343437592,5.181261662933164,15.0,2.539516510643379,0,0,8.634103586298176
1,0.8034848238319896,24104.544714959688,5.183052344036958,15.0,2.5454355655997887,0,0,8.634103586298176
2,0.8052267343636488,24156.802030909465,5.185865646103621,15.0,2.5547348704878963,0,0,8.634103586298176
3,0.8069677858507144,24209.033575521433,5.189700735491032,15.0,2.567411669722966,0,0,8.634103586298176
4,0.8087075849909462,24261.227549728384,5.19455647577944,15.0,2.5834622068957946,0,0,8.634103586298176
5,0.8104457388532008,24313.372165596025,5.2004314281082005,15.0,2.6028817258858226,0,0,8.634103586298176
6,0.8121818549938669,24365.455649816005,5.2073238516021485,15.0,2.6256644722704645,0,0,8.634103586298176
7,0.8139155415731535,24417.466247194603,5.215231703887449,15.0,2.6518036950302757,0,0,8.634103586298176
8,0.8156464074712014,24469.39222413604,5.224152641696806,15.0,2.6812916485494185,0,0,8.634103586298176
9,0.8173740624039801,24521.221872119404,5.2340840215638185,15.0,2.7141195949108665,0,0,8.634103586298176
10,0.8190981170389374,24572.943511168123,5.245022900606292,15.0,2.750277806485626,0,0,8.634103586298176
11,0.8208181831103668,24624.545493311005,5.256966037398289,15.0,2.789755568815248,0,0,8.634103586298176
12,0.8225338735344596,24676.01620603379,5.269909892930623,15.0,2.8325411837867582,0,0,8.634103586298176
13,0.8242448025240056,24727.344075720168,5.283850631659547,15.0,2.878621973099048,0,0,8.634103586298176
14,0.8259505857027104,24778.517571081313,5.298784122643313,15.0,2.92798428201974,0,0,8.634103586298176
15,0.8276508402190947,24829.525206572842,5.314705940766246,15.0,2.9806134834313753,0,0,8.634103586298176
16,0.829345184859941,24880.35554579823,5.331611368050021,15.0,3.0364939821657444,0,0,8.634103586298176
17,0.8310332401632553,24930.99720489766,5.349495395051682,15.0,3.0956092196250733,0,0,8.634103586298176
18,0.8327146285307102,24981.438855921308,5.3683527223480585,15.0,3.1579416786886902,0,0,8.634103586298176
19,0.8343889743395352,25031.669230186057,5.3881777621061016,15.0,3.223472888903732,0,0,8.634103586298176
20,0.8360559040538221,25081.677121614663,5.408964639738668,15.0,3.292183431958329,0,0,8.634103586298176
21,0.8377150463352113,25131.45139005634,5.4307071956453,15.0,3.3640529474356815,0,0,8.634103586298176
22,0.839366032152928,25180.98096458784,5.4533989870374375,15.0,3.4390601388472835,0,0,8.634103586298176
23,0.8410084948931333,25230.254846794,5.477033289847565,15.0,3.5171827799435307,0,0,8.634103586298176
24,0.8426420704675602,25279.262114026806,5.501603100721686,15.0,3.5983977212998393,0,0,8.634103586298176
25,0.8442663974214005,25327.991922642017,5.527101139094584,15.0,3.6826808971763283,0,0,8.634103586298176
26,0.8458811170404125,25376.433511212374,5.55351984934719,15.0,3.7700073326489996,0,0,8.634103586298176
27,0.8474858734572145,25424.576203716435,5.580851403045498,15.0,3.8603511510103683,0,0,8.634103586298176
28,0.849080313756737,25472.40941270211,5.609087701260284,15.0,3.953685581437276,0,0,8.634103586298176
29,0.8506640880807984,25519.922642423953,5.638220376966994,15.0,4.049982966923661,0,0,8.634103586298176
30,0.8522368497317764,25567.10549195329,5.668240797525085,15.0,4.149214772475936,0,0,8.634103586298176
31,0.8537982552753406,25613.94765826022,5.699140067236051,15.0,4.251351593568522,0,0,8.634103586298176
32,0.8553479646422211,25660.43893926663,5.730909029979414,15.0,4.356363164857031,0,0,8.634103586298176
33,0.8568856412289767,25706.5692368693,5.763538271925886,15.0,4.464218369146561,0,0,8.634103586298176
34,0.8584109519977396,25752.32855993219,5.79701812432688,15.0,4.574885246612371,0,0,8.634103586298176
35,0.8599235675749002,25797.707027247005,5.831338666379574,15.0,4.688331004270278,0,0,8.634103586298176
36,0.861423162348708,25842.69487046124,5.866489728166663,15.0,4.804522025693936,0,0,8.634103586298176
37,0.8629094145657581,25887.282436972742,5.902460893669913,15.0,4.923423880976085,0,0,8.634103586298176
38,0.8643820064263326,25931.46019278998,5.9392415038566675,15.0,5.045001336930893,0,0,8.634103586298176
39,0.8658406241785724,25975.218725357172,5.976820659838337,15.0,5.169218367534302,0,0,8.634103586298176
40,0.867284958211448,26018.54874634344,6.015187226099977,15.0,5.2960381645993255,0,0,8.634103586298176
41,0.8687147031465045,26061.441094395133,6.054329833799991,15.0,5.4254231486830955,0,0,8.634103586298176
42,0.8701295579283512,26103.88673785054,6.094236884138946,15.0,5.557334980222471,0,0,8.634103586298176
43,0.8715292259138715,26145.876777416146,6.134896551796563,15.0,5.691734570894876,0,0,8.634103586298176
44,0.8729134149601242,26187.402448803725,6.176296788435809,15.0,5.828582095201016,0,0,8.634103586298176
45,0.8742818375109116,26228.45512532735,6.218425326273076,15.0,5.967837002266023,0,0,8.634103586298176
46,0.8756342106819893,26269.02632045968,6.261269681713396,15.0,6.109458027855574,0,0,8.634103586298176
47,0.8769702563448902,26309.107690346707,6.304817159049594,15.0,6.253403206603348,0,0,8.634103586298176
48,0.8782897012093404,26348.691036280212,6.349054854224304,15.0,6.399629884446293,0,0,8.634103586298176
49,0.8795922769042406,26387.76830712722,6.3939696586537185,15.0,6.5480947312639355,0,0,8.634103586298176
50,0.8808777200571909,26426.331601715727,6.439548263111943,15.0,6.698753753718025,0,0,8.634103586298176
51,0.882145772372533,26464.37317117599,6.48577716167481,15.0,6.851562308288725,0,0,8.634103586298176
52,0.8833961807078893,26501.88542123668,6.532642655721976,15.0,7.006475114503438,0,0,8.634103586298176
53,0.8846286971491741,26538.860914475223,6.580130857996112,15.0,7.163446268354384,0,0,8.634103586298176
54,0.8858430790840562,26575.292372521686,6.628227696718007,15.0,7.32242925590097,0,0,8.634103586298176
55,0.8870390892738499,26611.1726782155,6.67691891975633,15.0,7.4833769670528465,0,0,8.634103586298176
56,0.8882164959238144,26646.49487771443,6.726190098850855,15.0,7.646241709529667,0,0,8.634103586298176
57,0.8893750727518386,26681.252182555156,6.776026633887857,15.0,7.8109752229933225,0,0,8.634103586298176
58,0.8905145990554946,26715.437971664836,6.826413757226442,15.0,7.977528693348536,0,0,8.634103586298176
59,0.8916348597774357,26749.045793323072,6.877336538074522,15.0,8.145852767207522,0,0,8.634103586298176
60,0.892735645569123,26782.06936707369,6.92877988691313,15.0,8.315897566514469,0,0,8.634103586298176
61,0.8938167528528598,26814.502585585793,6.9807285599677655,15.0,8.487612703325466,0,0,8.634103586298176
62,0.8948779838821158,26846.339516463475,7.033167163725457,15.0,8.660947294739568,0,0,8.634103586298176
63,0.8959191468001241,26877.57440400372,7.086080159496196,15.0,8.83584997797647,0,0,8.634103586298176
64,0.8969400556967319,26908.201670901955,7.139451868017377,15.0,9.012268925596418,0,0,8.634103586298176
65,0.8979405306634903,26938.21591990471,7.193266474099911,15.0,9.190151860857803,0,0,8.634103586298176
66,0.8989203978469649,26967.611935408946,7.247508031314601,15.0,9.369446073207873,0,0,8.634103586298176
67,0.8998794895002521,26996.384685007564,7.3021604667174165,15.0,9.550098433902027,0,0,8.634103586298176
68,0.9008176440326865,27024.529320980593,7.35720758561225,15.0,9.732055411746995,0,0,8.634103586298176
69,0.9017347060577231,27052.041181731693,7.412633076349758,15.0,9.915263088963286,0,0,8.634103586298176
70,0.9026305264389823,27078.91579316947,7.468420515160859,15.0,10.099667177162194,0,0,8.634103586298176
71,0.9035049623344421,27105.148870033263,7.524553371023438,15.0,10.285213033432624,0,0,8.634103586298176
72,0.9043578772387646,27130.736317162937,7.581015010560857,15.0,10.47184567653295,0,0,8.634103586298176
73,0.9051891410237466,27155.674230712397,7.637788702970781,15.0,10.659509803183166,0,0,8.634103586298176
74,0.9059986299768786,27179.95889930636,7.69485762498287,15.0,10.848149804452415,0,0,8.634103586298176
75,0.9067862268380038,27203.586805140116,7.752204865843886,15.0,11.03770978223714,0,0,8.634103586298176
76,0.9075518208340648,27226.554625021945,7.8098134323287045,15.0,11.228133565824884,0,0,8.634103586298176
77,0.9082953077119277,27248.85923135783,7.867666253775783,15.0,11.419364728538886,0,0,8.634103586298176
78,0.909016589769275,27270.49769307825,7.925746187145561,15.0,11.61134660445853,0,0,8.634103586298176
79,0.9097155758835568,27291.467276506704,7.9840360221003115,15.0,11.804022305210673,0,0,8.634103586298176
