tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.801739245538284,24052.17736614852,4.83842185540375,15.0,2.9784245455713716,0,0,8.06279207873773
1,0.8034783891331533,24104.3516739946,4.840094048616967,15.0,2.9853665987121456,0,0,8.06279207873773
2,0.8052170198716418,24156.510596149255,4.842721196808029,15.0,2.996273114901116,0,0,8.06279207873773
3,0.8069547269927547,24208.641809782643,4.846302521496227,15.0,3.0111408623021543,0,0,8.06279207873773
4,0.8086911000091843,24260.73300027553,4.850836961457766,15.0,3.0299654352808307,0,0,8.06279207873773
5,0.8104257288289471,24312.771864868413,4.8563231730402245,15.0,3.0527412557099067,0,0,8.06279207873773
6,0.8121582038769027,24364.746116307084,4.862759530560709,15.0,3.079461574622248,0,0,8.06279207873773
7,0.81388811621612,24416.6434864836,4.870144126787574,15.0,3.1101184742106875,0,0,8.06279207873773
8,0.8156150576690534,24468.451730071603,4.87847477350559,15.0,3.144702870174245,0,0,8.06279207873773
9,0.8173386209384955,24520.158628154866,4.887749002164342,15.0,3.183204514410008,0,0,8.06279207873773
10,0.8190583997282672,24571.751991848017,4.897964064609724,15.0,3.225611998049853,0,0,8.06279207873773
11,0.8207739888636125,24623.219665908375,4.909116933898275,15.0,3.2719127548411495,0,0,8.06279207873773
12,0.8224849844112604,24674.549532337813,4.921204305194125,15.0,3.3220930648704106,0,0,8.06279207873773
13,0.824190983799119,24725.729513973572,4.9342225967482936,15.0,3.3761380586287912,0,0,8.06279207873773
14,0.8258915859355668,24776.747578067003,4.948167950960037,15.0,3.434031721418256,0,0,8.06279207873773
15,0.8275863913283037,24827.59173984911,4.963036235519931,15.0,3.4957568980970724,0,0,8.06279207873773
16,0.8292750022027305,24878.250066081917,4.978823044634384,15.0,3.561295298163252,0,0,8.06279207873773
17,0.8309570226198173,24928.710678594518,4.995523700331145,15.0,3.6306275011744225,0,0,8.06279207873773
18,0.8326320585934284,24978.961757802852,5.013133253845497,15.0,3.703732962502518,0,0,8.06279207873773
19,0.83429971820707,25028.991546212103,5.031646487086697,15.0,3.7805900194216036,0,0,8.06279207873773
20,0.8359596117300231,25078.788351900694,5.05105791418418,15.0,3.8611758975270014,0,0,8.06279207873773
21,0.8376113517328285,25128.340551984857,5.071361783113168,15.0,3.9454667174838427,0,0,8.06279207873773
22,0.8392545532020914,25177.63659606274,5.092552077399102,15.0,4.033437502103032,0,0,8.06279207873773
23,0.8408888336545682,25226.665009637047,5.114622517900463,15.0,4.125062183742522,0,0,8.06279207873773
24,0.8425138132505058,25275.414397515175,5.1375665646694095,15.0,4.220313612031715,0,0,8.06279207873773
25,0.844129114906195,25323.87344718585,5.161377418889713,15.0,4.319163561916721,0,0,8.06279207873773
26,0.8457343644057097,25372.030932171292,5.1860480248913845,15.0,4.421582742024026,0,0,8.06279207873773
27,0.8473291905117942,25419.875715353828,5.211571072241433,15.0,4.527540803340182,0,0,8.06279207873773
28,0.8489132250758695,25467.396752276087,5.237938997910096,15.0,4.637006348204861,0,0,8.06279207873773
29,0.8504861031471233,25514.583094413698,5.265143988511929,15.0,4.749946939614654,0,0,8.06279207873773
30,0.8520474630806527,25561.42389241958,5.293177982621089,15.0,4.8663291108348705,0,0,8.06279207873773
31,0.8535969466446279,25607.908399338838,5.322032673160095,15.0,4.986118375316446,0,0,8.06279207873773
32,0.8551341991264436,25654.02597379331,5.351699509861405,15.0,5.109279236915048,0,0,8.06279207873773
33,0.8566588694378281,25699.766083134844,5.382169701801043,15.0,5.2357752004093605,0,0,8.06279207873773
34,0.8581706102188783,25745.11830656635,5.413434220003538,15.0,5.365568782315391,0,0,8.06279207873773
35,0.8596690779409901,25790.072338229704,5.4454838001174,15.0,5.498621521993641,0,0,8.06279207873773
36,0.8611539330086532,25834.617990259594,5.478308945160357,15.0,5.634893993045841,0,0,8.06279207873773
37,0.8626248398600803,25878.74519580241,5.5118999283335075,15.0,5.77434581499781,0,0,8.06279207873773
