tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8016870064780263,24050.61019434079,6.537726219396008,15.0,2.8462919893119016,0,0,10.894528991065712
1,0.803373901701978,24101.21705105934,6.539985704356323,15.0,2.852926070498662,0,0,10.894528991065712
2,0.805060269441764,24151.80808325292,6.543535534471232,15.0,2.8633487383168306,0,0,10.894528991065712
3,0.8067456936235984,24202.37080870795,6.548374657849458,15.0,2.8775569043049902,0,0,10.894528991065712
4,0.8084297584532916,24252.892753598746,6.554501640554309,15.0,2.8955463582769205,0,0,10.894528991065712
5,0.8101120485394594,24303.361456183782,6.561914667028579,15.0,2.917311769569168,0,0,10.894528991065712
6,0.8117921490166128,24353.764470498383,6.5706115406325365,15.0,2.9428466886206306,0,0,10.894528991065712
7,0.8134696456680907,24404.08937004272,6.580589684294838,15.0,2.972143548883705,0,0,10.894528991065712
8,0.8151441250488021,24454.32375146406,6.591846141276171,15.0,3.0051936690664145,0,0,10.894528991065712
9,0.8168151746077382,24504.455238232145,6.604377576045399,15.0,3.0419872557048713,0,0,10.894528991065712
10,0.8184823828102207,24554.47148430662,6.618180275267946,15.0,3.082513406065284,0,0,10.894528991065712
11,0.8201453392598479,24604.360177795435,6.63325014890615,15.0,3.126760111374672,0,0,10.894528991065712
12,0.8218036348201042,24654.109044603127,6.649582731431215,15.0,3.174714260379335,0,0,10.894528991065712
13,0.8234568617355963,24703.705852067887,6.667173183146452,15.0,3.2263616432299824,0,0,10.894528991065712
14,0.8251046137528794,24753.13841258638,6.686016291621389,15.0,3.281686955692436,0,0,10.894528991065712
15,0.8267464862408396,24802.394587225186,6.70610647323631,15.0,3.340673803682595,0,0,10.894528991065712
16,0.8283820763105942,24851.462289317828,6.727437774836828,15.0,3.4033047081243595,0,0,10.894528991065712
17,0.830010982934877,24900.329488046307,6.750003875497908,15.0,3.4695611101290593,0,0,10.894528991065712
18,0.83163280706687,24948.9842120061,6.773798088396907,15.0,3.539423376494847,0,0,10.894528991065712
19,0.8332471517584513,24997.41455275354,6.798813362795025,15.0,3.6128708055244503,0,0,10.894528991065712
20,0.8348536222778186,25045.608668334557,6.825042286126582,15.0,3.6898816331595206,0,0,10.894528991065712
21,0.8364518262264564,25093.55478679369,6.852477086195528,15.0,3.770433039429799,0,0,10.894528991065712
22,0.8380413736554128,25141.24120966238,6.881109633478512,15.0,3.8545011552151687,0,0,10.894528991065712
23,0.8396218771808492,25188.656315425476,6.910931443533834,15.0,3.9420610693185845,0,0,10.894528991065712
24,0.8411929520988313,25235.78856296494,6.941933679515564,15.0,4.033086835847794,0,0,10.894528991065712
25,0.8427542164993242,25282.626494979726,6.974107154792103,15.0,4.127551481903684,0,0,10.894528991065712
26,0.8443052913793613,25329.158741380837,7.007442335668359,15.0,4.225427015572909,0,0,10.894528991065712
27,0.8458458007553508,25375.374022660522,7.0419293442108115,15.0,4.326684434222519,0,0,10.894528991065712
28,0.8473753717744876,25421.261153234627,7.077557961174539,15.0,4.431293733094056,0,0,10.894528991065712
29,0.8488936348252379,25466.809044757138,7.114317629031402,15.0,4.539223914194606,0,0,10.894528991065712
