tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8017489979555043,24052.469938665126,5.258089862915182,15.0,2.266184021454648,0,0,8.76213082756629
1,0.8034979444687899,24104.938334063696,5.259907096394613,15.0,2.271465998440468,0,0,8.76213082756629
2,0.8052464574670805,24157.393724012414,5.262762114349769,15.0,2.2797644032981412,0,0,8.76213082756629
3,0.8069941550060596,24209.82465018179,5.2666540707772125,15.0,2.291076777031212,0,0,8.76213082756629
4,0.808740655383049,24262.21966149147,5.271581812406261,15.0,2.3053997675392024,0,0,8.76213082756629
5,0.8104855772501149,24314.56731750345,5.277543879040718,15.0,2.3227291306109104,0,0,8.76213082756629
6,0.812228539727071,24366.85619181213,5.28453850399157,15.0,2.34305973118206,0,0,8.76213082756629
7,0.8139691625143396,24419.07487543019,5.2925636146004855,15.0,2.3663855448569318,0,0,8.76213082756629
8,0.8157070660056442,24471.211980169326,5.301616832853996,15.0,2.392699659693519,0,0,8.76213082756629
9,0.8174418714004941,24523.256142014823,5.311695476088149,15.0,2.4219942782516926,0,0,8.76213082756629
10,0.8191732008164315,24575.196024492947,5.3227965577834375,15.0,2.4542607199037447,0,0,8.76213082756629
11,0.8209006774010061,24627.020322030185,5.334916788449776,15.0,2.4894894234066447,0,0,8.76213082756629
12,0.822623925443445,24678.71776330335,5.3480525766012414,15.0,2.52766994973525,0,0,8.76213082756629
13,0.824342570485983,24730.27711457949,5.362200029820311,15.0,2.5687909851756032,0,0,8.76213082756629
14,0.8260562394348236,24781.68718304471,5.3773549559112706,15.0,2.6128403446774398,0,0,8.76213082756629
15,0.8277645606706943,24832.936820120827,5.393512864142444,15.0,2.6598049754648767,0,0,8.76213082756629
16,0.8294671641589649,24884.014924768948,5.410668966576913,15.0,2.7096709609042318,0,0,8.76213082756629
17,0.8311636815592978,24934.910446778933,5.428818179491264,15.0,2.7624235246278235,0,0,8.76213082756629
18,0.832853746334794,24985.61239004382,5.447955124882016,15.0,2.818047034912526,0,0,8.76213082756629
19,0.834536993860607,25036.10981581821,5.468074132059245,15.0,2.8765250093117904,0,0,8.76213082756629
20,0.8362130615319882,25086.391845959646,5.489169239326919,15.0,2.9378401195397417,0,0,8.76213082756629
21,0.837881588871735,25136.44766615205,5.511234195749483,15.0,3.0019741966059312,0,0,8.76213082756629
22,0.8395422176370078,25186.26652911023,5.534262463004151,15.0,3.0689082361991993,0,0,8.76213082756629
23,0.8411945919254847,25235.83775776454,5.5582472173183435,15.0,3.138622404319059,0,0,8.76213082756629
24,0.8428383582808241,25285.150748424723,5.583181351491723,15.0,3.2110960431529385,0,0,8.76213082756629
25,0.8444731657974003,25334.194973922007,5.609057477002214,15.0,3.2863076771975472,0,0,8.76213082756629
26,0.8460986662242848,25382.959986728543,5.63586792619537,15.0,3.3642350196225124,0,0,8.76213082756629
27,0.847714514068441,25431.43542205323,5.663604754556484,15.0,3.444854978874467,0,0,8.76213082756629
28,0.8493203666971005,25479.611000913017,5.692259743064701,15.0,3.528143665519565,0,0,8.76213082756629
29,0.8509158844392934,25527.476533178804,5.721824400628498,15.0,3.614076399322432,0,0,8.76213082756629
30,0.8525007306864995,25575.021920594983,5.752289966601785,15.0,3.702627716559464,0,0,8.76213082756629
31,0.8540745719923925,25622.237159771772,5.78364741337986,15.0,3.79377137756427,0,0,8.76213082756629
32,0.855637078171648,25669.112345149442,5.815887449074495,15.0,3.8874803745030517,0,0,8.76213082756629
33,0.8571879223977847,25715.637671933542,5.849000520267318,15.0,3.983726939377613,0,0,8.76213082756629
34,0.8587267813000092,25761.803439000276,5.882976814840696,15.0,4.08248255225361,0,0,8.76213082756629
35,0.8602533350590381,25807.600051771144,5.917806264885275,15.0,4.183717949711621,0,0,8.76213082756629
36,0.8617672675018679,25853.018025056037,5.95347854968333,15.0,4.28740313351855,0,0,8.76213082756629
37,0.8632682661954634,25898.0479858639,5.989983098767,15.0,4.39350737951672,0,0,8.76213082756629
38,0.8647560225393381,25942.680676180145,6.027309095050564,15.0,4.501999246728125,0,0,8.76213082756629
39,0.8662302318570002,25986.906955710005,6.065445478035757,15.0,4.612846586671063,0,0,8.76213082756629
40,0.8676905934862331,26030.717804586995,6.104380947089253,15.0,4.726016552886429,0,0,8.76213082756629
41,0.8691368108681903,26074.104326045708,6.144103964791276,15.0,4.841475610670826,0,0,8.76213082756629
42,0.8705685916352702,26117.057749058105,6.184602760354385,15.0,4.95918954701362,0,0,8.76213082756629
43,0.871985647697752,26159.56943093256,6.22586533311142,15.0,5.079123480734998,0,0,8.76213082756629
44,0.8733876953291627,26201.63085987488,6.267879456071555,15.0,5.201241872822015,0,0,8.76213082756629
45,0.8747744552503514,26243.23365751054,6.310632679543417,15.0,5.3255085369595605,0,0,8.76213082756629
46,0.8761456527122454,26284.369581367362,6.354112334824203,15.0,5.451886650253162,0,0,8.76213082756629
47,0.877501017577265,26325.030527317947,6.398305537953682,15.0,5.5803387641403805,0,0,8.76213082756629
48,0.8788402843993701,26365.208531981105,6.443199193532002,15.0,5.710826815487654,0,0,8.76213082756629
49,0.8801631925027187,26404.89577508156,6.48877999860013,15.0,5.8433121378692015,0,0,8.76213082756629
50,0.8814694860589097,26444.084581767293,6.535034446581809,15.0,5.977755473024734,0,0,8.76213082756629
51,0.8827589141627913,26482.76742488374,6.5819488312858505,15.0,6.114116982492522,0,0,8.76213082756629
52,0.884031230906809,26520.93692720427,6.629509250967572,15.0,6.252356259414388,0,0,8.76213082756629
53,0.8852861954538737,26558.58586361621,6.677701612448182,15.0,6.39243234050913,0,0,8.76213082756629
54,0.8865235721087263,26595.70716326179,6.726511635290898,15.0,6.534303718210833,0,0,8.76213082756629
55,0.8877431303877804,26632.293911633413,6.775924856032546,15.0,6.6779283529684434,0,0,8.76213082756629
56,0.8889446450874184,26668.33935262255,6.825926632469395,15.0,6.823263685703017,0,0,8.76213082756629
57,0.8901278963507248,26703.836890521743,6.87650214799596,15.0,6.970266650418864,0,0,8.76213082756629
58,0.8912926697326345,26738.780091979035,6.927636415995481,15.0,7.118893686964959,0,0,8.76213082756629
59,0.8924387562634776,26773.16268790433,6.979314284280783,15.0,7.269100753942739,0,0,8.76213082756629
60,0.8935659525109012,26806.978575327037,7.0315204395841935,15.0,7.420843341756525,0,0,8.76213082756629
61,0.8946740606401512,26840.221819204537,7.084239412095194,15.0,7.574076485802671,0,0,8.76213082756629
62,0.8957628884726948,26872.886654180846,7.13745558004446,15.0,7.728754779793557,0,0,8.76213082756629
63,0.8968322495431673,26904.96748629502,7.191153174332931,15.0,7.884832389212443,0,0,8.76213082756629
64,0.8978819631546255,26936.458894638767,7.245316283204529,15.0,8.042263064895227,0,0,8.76213082756629
65,0.8989118544320928,26967.355632962783,7.299928856961161,15.0,8.201000156735072,0,0,8.76213082756629
66,0.8999217543743773,26997.652631231318,7.354974712718587,15.0,8.360996627505836,0,0,8.76213082756629
67,0.9009114999041518,27027.344997124554,7.410437539201758,15.0,8.522205066800227,0,0,8.76213082756629
68,0.9018809339162762,27056.428017488288,7.466300901578201,15.0,8.684577705078517,0,0,8.76213082756629
69,0.9028299053243516,27084.897159730546,7.522548246328014,15.0,8.848066427823694,0,0,8.76213082756629
70,0.90375826910549,27112.748073164697,7.579162906149033,15.0,9.012622789798838,0,0,8.76213082756629
71,0.9046658863432882,27139.976590298644,7.636128104895707,15.0,9.178198029402473,0,0,8.76213082756629
72,0.9055526242689915,27166.578728069744,7.693426962550236,15.0,9.344743083117702,0,0,8.76213082756629
73,0.9064183563008361,27192.550689025084,7.751042500224487,15.0,9.512208600050771,0,0,8.76213082756629
74,0.9072629620815578,27217.888862446733,7.808957645191203,15.0,9.68054495655481,0,0,8.76213082756629
75,0.9080863275140564,27242.58982542169,7.86715523594302,15.0,9.849702270934392,0,0,8.76213082756629
76,0.9088883447952056,27266.65034385617,7.92561802727779,15.0,10.019630418226553,0,0,8.76213082756629
77,0.9096689124477969,27290.067373433907,7.98432869540871,15.0,10.190279045053899,0,0,8.76213082756629
78,0.9104279353506096,27312.83806051829,8.043269843097733,15.0,10.361597584545404,0,0,8.76213082756629
79,0.9111653247665974,27334.959742997922,8.102424004810745,15.0,10.533535271320458,0,0,8.76213082756629
80,0.911880998369183,27356.42995107549,8.161773651892977,15.0,10.70604115653175,0,0,8.76213082756629
81,0.9125748802666535,27377.246407999603,8.22130119776313,15.0,10.879064122962511,0,0,8.76213082756629
82,0.9132469010246481,27397.407030739443,8.280989003124656,15.0,11.052552900173648,0,0,8.76213082756629
83,0.9138969976867339,27416.909930602018,8.340819381192652,15.0,11.226456079696277,0,0,8.76213082756629
84,0.9145251137930606,27435.753413791816,8.400774602934858,15.0,11.400722130265164,0,0,8.76213082756629
85,0.9151311993970905,27453.935981912717,8.460836902325125,15.0,11.575299413088564,0,0,8.76213082756629
86,0.9157152110804,27471.456332412,8.520988481607898,15.0,11.750136197149882,0,0,8.76213082756629
87,0.916277111965544,27488.31335896632,8.581211516572056,15.0,11.925180674536719,0,0,8.76213082756629
88,0.9168168717269842,27504.506151809528,8.64148816183262,15.0,12.100380975792653,0,0,8.76213082756629
